channel_id,call_sign,display_name,city,state,source,site,site_id,match_method,confidence,reason
BigTenNetwork.us,,Big Ten Network,,,tvguide.com,tvguide.com,9200004533,exact_channel_id,high,channel id matched verbatim in tvguide.com guide-source list
BilliardTV.us,,Billiard TV,,,i.mjh.nz/roku,i.mjh.nz,Roku/all#0b4814b9a5e53029e2b9aba64ddc1df0,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/roku guide-source list
BlackInkCrew.us,,Black Ink Crew,,,i.mjh.nz/pluto,i.mjh.nz,PlutoTV/us#5d51e2bceca5b4b2c0e06c50,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/pluto guide-source list
BlazeLive.us,,Blaze Live,,,i.mjh.nz/pluto,i.mjh.nz,PlutoTV/us#5e46fba0c43b0d00096e5ac1,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/pluto guide-source list
BloombergOriginals.us,,Bloomberg Originals,,,i.mjh.nz/plex,i.mjh.nz,Plex/au#697140a85d851f5e69414688-61d73c3ca7b7c7f703418518,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/plex guide-source list
BloombergTV.us,,Bloomberg TV,,,tvguide.com,tvguide.com,9233015798,exact_channel_id,high,channel id matched verbatim in tvguide.com guide-source list
BlueBloods.us,,Blue Bloods,,,i.mjh.nz/pluto,i.mjh.nz,PlutoTV/us#61b3b8c645b45d0007a9bb8d,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/pluto guide-source list
Bobleponge.us,,Bob l'eponge,,,i.mjh.nz/pluto,i.mjh.nz,PlutoTV/fr#5ffc8c345822750007e167de,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/pluto guide-source list
BounceXL.us,,Bounce XL,,,i.mjh.nz/roku,i.mjh.nz,Roku/all#7f28cd98ab575aa784d0f80698279e70,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/roku guide-source list
BratTV.us,,Brat TV,,,i.mjh.nz/plex,i.mjh.nz,Plex/au#697140a85d851f5e69414688-63d6f6c5a9e88ee909e7ee1f,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/plex guide-source list
Bravo.us,,Bravo,,,tvguide.com,tvguide.com,9200002886,exact_channel_id,high,channel id matched verbatim in tvguide.com guide-source list
BritBoxMysteries.us,,BritBox Mysteries,,,i.mjh.nz/roku,i.mjh.nz,Roku/all#0141916713c53d074650f14e2c9ff61e,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/roku guide-source list
BritishComedy.us,,British Comedy,,,i.mjh.nz/pluto,i.mjh.nz,PlutoTV/ca#638e11951177840007fdd6b2,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/pluto guide-source list
Buzzr.us,,Buzzr,,,i.mjh.nz/roku,i.mjh.nz,Roku/all#562baf35c5da56cc91cdea41537b43f9,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/roku guide-source list
CBCNewsNetwork.ca,,CBC News Network,,,i.mjh.nz/roku,i.mjh.nz,Roku/all#8db0f9f4abf6542ba95f97a545f98513,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/roku guide-source list
CBS.us,,CBS,,,tvguide.com,tvguide.com,9200018514,exact_channel_id,high,channel id matched verbatim in tvguide.com guide-source list
CBSNews247.us,,CBS News 24/7,,,i.mjh.nz/roku,i.mjh.nz,Roku/all#70881c73b6275623ace6c5c3603a339c,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/roku guide-source list
CBSNewsBaltimore.us,,CBS News Baltimore,,,i.mjh.nz/roku,i.mjh.nz,Roku/all#a3b212829dd85675bf997edc25a40a73,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/roku guide-source list
CBSNewsBayArea.us,,CBS News Bay Area,,,i.mjh.nz/roku,i.mjh.nz,Roku/all#8a5a455185bb504694df6689035f6f14,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/roku guide-source list
CBSNewsBoston.us,,CBS News Boston,,,i.mjh.nz/roku,i.mjh.nz,Roku/all#73a2f0c10aa1523dabb9d1e470425566,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/roku guide-source list
CBSNewsChicago.us,,CBS News Chicago,,,i.mjh.nz/roku,i.mjh.nz,Roku/all#8fec7a48bdc959d7b1a91d27e3ffbb0b,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/roku guide-source list
CBSNewsColorado.us,,CBS News Colorado,,,i.mjh.nz/roku,i.mjh.nz,Roku/all#50e00e5cbec45dbfa5fcbd1f7122d19b,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/roku guide-source list
CBSNewsDetroit.us,,CBS News Detroit,,,i.mjh.nz/roku,i.mjh.nz,Roku/all#4dae849c49ba5724bc485566e89fd46a,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/roku guide-source list
CBSNewsLosAngeles.us,,CBS News Los Angeles,,,i.mjh.nz/roku,i.mjh.nz,Roku/all#e3fa9982ac3c555298eb72fcb3ffd8a4,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/roku guide-source list
CBSNewsMiami.us,,CBS News Miami,,,i.mjh.nz/roku,i.mjh.nz,Roku/all#b7fc60ea3d8d539d8ac0998e9c76b97c,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/roku guide-source list
CBSNewsMinnesota.us,,CBS News Minnesota,,,i.mjh.nz/roku,i.mjh.nz,Roku/all#fa83022cd5f654938a558ec37b93d752,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/roku guide-source list
CBSNewsNewYork.us,,CBS News New York,,,i.mjh.nz/roku,i.mjh.nz,Roku/all#41d5a59655975c379aff0ea4c729313e,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/roku guide-source list
CBSNewsPhilly.us,,CBS News Philly,,,i.mjh.nz/roku,i.mjh.nz,Roku/all#78a1b45133495e54a0a1377b8e828789,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/roku guide-source list
CBSNewsPittsburgh.us,,CBS News Pittsburgh,,,i.mjh.nz/roku,i.mjh.nz,Roku/all#15e9b249ce4d508b88972380003f9032,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/roku guide-source list
CBSNewsSacramento.us,,CBS News Sacramento,,,i.mjh.nz/roku,i.mjh.nz,Roku/all#c3174023eb705f3d870d4ad2411de5f3,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/roku guide-source list
CBSSportsGolazoNetwork.us,,CBS Sports Golazo Network,,,i.mjh.nz/roku,i.mjh.nz,Roku/all#b18a1af4fa8b5c58acd43dbc2cf5cc9f,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/roku guide-source list
CBSSportsHQ.us,,CBS Sports HQ,,,i.mjh.nz/roku,i.mjh.nz,Roku/all#1337f5ac77595895bbaf16d1dd75f377,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/roku guide-source list
